BARCODE,Name,Number,GROUP,SAMPLE
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhizobiales Rhodobiaceae Parvibaculum",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodobacterales Rhodobacteraceae Albidovulum",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodobacterales Rhodobacteraceae Nereida",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodobacterales Rhodobacteraceae Pannonibacter",5,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Acetobacteraceae Acidisphaera",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Acetobacteraceae Granulibacter",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Acetobacteraceae Paracraurococcus",2,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Acetobacteraceae Rubritepida",2,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Acetobacteraceae Saccharibacter",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Acetobacteraceae Swaminathania",4,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Rhodospirillaceae Defluviicoccus",11,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Rhodospirillaceae Oceanibaculum",4,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Rhodospirillaceae Telmatospirillum",50,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Rhodospirillaceae Tistrella",6,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rickettsiales Rickettsiaceae Orientia",11,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rickettsiales SAR11 Pelagibacter",2,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Sphingomonadales Erythrobacteraceae Altererythrobacter",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Sphingomonadales Erythrobacteraceae Croceicoccus",3,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Sphingomonadales Erythrobacteraceae Erythromicrobium",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Sphingomonadales Sphingomonadaceae Novosphingobium",28,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sandaracinobacter",15,EXTRACTION CONTROL,unknown
